# Type: fully dynamic
# Error rate: 70%
# format: n source numInitialEdges numUpdates
# next numInitialEdges lines: u v (directed edge u->v in G_0)
# next numUpdates lines: u v type (real update)
# next numUpdates lines: u v type (predicted update)
40 1 64 40
1 4
1 8
1 12
1 18
1 38
2 12
2 39
3 39
4 3
4 32
6 29
7 37
8 27
9 22
10 18
10 19
10 28
14 25
15 32
16 6
16 11
16 13
16 21
16 36
18 7
18 21
18 38
19 2
19 3
19 35
21 25
23 8
23 33
24 7
25 8
25 13
25 20
25 21
27 1
28 5
28 7
29 34
30 32
30 37
31 13
34 2
34 32
35 25
38 9
38 24
38 39
39 8
39 15
40 8
40 24
1 10
1 14
1 16
1 17
1 23
1 26
1 30
1 31
1 40
28 9 0
3 17 0
23 33 1
24 4 0
5 30 0
26 34 0
6 29 1
23 3 0
7 6 0
38 34 0
2 6 0
25 21 1
8 3 0
15 23 0
27 1 1
17 2 0
14 39 0
1 36 0
38 3 0
28 9 1
34 18 0
39 2 0
5 22 0
28 5 1
8 39 0
31 37 0
1 18 1
7 2 0
33 14 0
36 30 0
31 23 0
21 3 0
8 6 0
18 9 0
2 12 1
12 32 0
33 28 0
2 31 0
38 9 1
14 38 0
24 4 0
6 29 1
14 39 0
8 3 0
17 2 0
23 33 1
7 2 0
1 18 1
5 30 0
39 2 0
7 6 0
31 37 0
38 3 0
15 23 0
25 21 1
38 34 0
34 18 0
1 36 0
28 9 0
23 3 0
8 39 0
2 6 0
5 22 0
26 34 0
28 5 1
27 1 1
3 17 0
28 9 1
31 23 0
36 30 0
12 32 0
2 31 0
38 9 1
21 3 0
2 12 1
33 14 0
14 38 0
18 9 0
8 6 0
33 28 0
