test_case,graph_name,error_rate,algo,step_j,last_match_i,eta_e,eta_v,eta_v_star
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case00_m200,synthetic,0.0500,decremental,191,190,1,18.0000,27.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case00_m200,synthetic,0.0500,decremental,192,190,2,18.0000,27.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case00_m200,synthetic,0.0500,decremental,193,190,3,21.0000,30.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case00_m200,synthetic,0.0500,decremental,194,190,4,21.0000,30.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case00_m200,synthetic,0.0500,decremental,195,190,5,21.0000,30.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case00_m200,synthetic,0.0500,decremental,196,190,6,21.0000,30.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case00_m200,synthetic,0.0500,decremental,197,190,7,21.0000,30.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case00_m200,synthetic,0.0500,decremental,198,190,8,28.0000,37.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case00_m200,synthetic,0.0500,decremental,199,190,9,28.0000,37.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case00_m200,synthetic,0.0500,decremental,200,190,10,28.0000,37.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case01_m200,synthetic,0.0500,decremental,191,190,1,1.0000,495.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case01_m200,synthetic,0.0500,decremental,192,190,2,1.0000,495.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case01_m200,synthetic,0.0500,decremental,193,190,3,1.0000,495.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case01_m200,synthetic,0.0500,decremental,194,190,4,1.0000,495.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case01_m200,synthetic,0.0500,decremental,195,190,5,1.0000,495.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case01_m200,synthetic,0.0500,decremental,196,190,6,1.0000,495.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case01_m200,synthetic,0.0500,decremental,197,190,7,1.0000,495.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case01_m200,synthetic,0.0500,decremental,198,190,8,1.0000,495.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case01_m200,synthetic,0.0500,decremental,199,190,9,1.0000,495.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case01_m200,synthetic,0.0500,decremental,200,190,10,1.0000,495.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case02_m200,synthetic,0.0500,decremental,191,190,1,0.0000,0.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case02_m200,synthetic,0.0500,decremental,192,190,2,0.0000,0.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case02_m200,synthetic,0.0500,decremental,193,190,3,2.0000,990.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case02_m200,synthetic,0.0500,decremental,194,190,4,2.0000,990.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case02_m200,synthetic,0.0500,decremental,195,190,5,5.0000,993.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case02_m200,synthetic,0.0500,decremental,196,190,6,5.0000,993.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case02_m200,synthetic,0.0500,decremental,197,190,7,5.0000,993.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case02_m200,synthetic,0.0500,decremental,198,190,8,5.0000,993.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case02_m200,synthetic,0.0500,decremental,199,190,9,8.0000,2478.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case02_m200,synthetic,0.0500,decremental,200,190,10,8.0000,2478.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case03_m200,synthetic,0.0500,decremental,191,190,1,0.0000,0.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case03_m200,synthetic,0.0500,decremental,192,190,2,0.0000,0.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case03_m200,synthetic,0.0500,decremental,193,190,3,0.0000,0.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case03_m200,synthetic,0.0500,decremental,194,190,4,0.0000,0.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case03_m200,synthetic,0.0500,decremental,195,190,5,3.0000,1485.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case03_m200,synthetic,0.0500,decremental,196,190,6,3.0000,1485.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case03_m200,synthetic,0.0500,decremental,197,190,7,117.0000,1618.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case03_m200,synthetic,0.0500,decremental,198,190,8,117.0000,1618.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case03_m200,synthetic,0.0500,decremental,199,190,9,119.0000,2610.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case03_m200,synthetic,0.0500,decremental,200,190,10,117.0000,2605.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,91,90,1,0.0000,0.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,92,90,2,0.0000,0.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,93,90,3,32.0000,32.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,94,90,4,32.0000,32.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,95,90,5,32.0000,32.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,96,90,6,32.0000,32.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,97,90,7,32.0000,32.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,98,90,8,32.0000,32.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,99,90,9,32.0000,32.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,100,90,10,32.0000,32.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,101,90,11,32.0000,32.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,102,90,12,32.0000,32.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,103,90,13,31.0000,50.0000
