test_case,graph_name,error_rate,algo,n,m_init,m_updates,prediction_accuracy,case1_count,case2_count,online_total_us,online_avg_us_per_update,classical_total_us,classical_avg_us_per_update,speedup_vs_classical
graph_synthetic_mode_decremental_strategy_prefix_err0.00_case00_m200,synthetic,0.0000,decremental,500,1983,200,1.0000,200,0,15.2510,0.0763,172.6920,0.8635,11.3233
graph_synthetic_mode_decremental_strategy_prefix_err0.00_case01_m200,synthetic,0.0000,decremental,500,1983,200,1.0000,200,0,14.3750,0.0719,228.8740,1.1444,15.9217
graph_synthetic_mode_decremental_strategy_prefix_err0.00_case02_m200,synthetic,0.0000,decremental,500,1983,200,1.0000,200,0,14.3150,0.0716,259.8340,1.2992,18.1512
graph_synthetic_mode_decremental_strategy_prefix_err0.00_case03_m200,synthetic,0.0000,decremental,500,1983,200,1.0000,200,0,15.2810,0.0764,357.6930,1.7885,23.4077
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case00_m200,synthetic,0.0500,decremental,500,1983,200,0.9500,190,10,487.6680,2.4383,85.9820,0.4299,0.1763
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case01_m200,synthetic,0.0500,decremental,500,1983,200,0.9500,190,10,724.5810,3.6229,199.2410,0.9962,0.2750
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case02_m200,synthetic,0.0500,decremental,500,1983,200,0.9500,190,10,695.6520,3.4783,168.8650,0.8443,0.2427
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case03_m200,synthetic,0.0500,decremental,500,1983,200,0.9500,190,10,605.4500,3.0272,268.8250,1.3441,0.4440
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,500,1983,200,0.4500,90,110,10070.3500,50.3517,218.6000,1.0930,0.0217
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case01_m200,synthetic,0.1000,decremental,500,1983,200,0.4650,93,107,17198.7450,85.9937,169.9260,0.8496,0.0099
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case02_m200,synthetic,0.1000,decremental,500,1983,200,0.3100,62,138,14430.9390,72.1547,234.7210,1.1736,0.0163
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case03_m200,synthetic,0.1000,decremental,500,1983,200,0.7850,157,43,1857.4330,9.2872,108.8690,0.5443,0.0586
graph_synthetic_mode_decremental_strategy_prefix_err0.15_case00_m200,synthetic,0.1500,decremental,500,1983,200,0.0150,3,197,44609.3680,223.0468,252.6510,1.2633,0.0057
