test_case,graph_name,error_rate,algo,ec,step_j,last_match_i,eta_e,eta_v,eta_v_star
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case00_m200,synthetic,0.0500,decremental,noec,191,190,1,18.0000,27.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case00_m200,synthetic,0.0500,decremental,noec,192,190,2,18.0000,27.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case00_m200,synthetic,0.0500,decremental,noec,193,190,3,21.0000,30.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case00_m200,synthetic,0.0500,decremental,noec,194,190,4,21.0000,30.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case00_m200,synthetic,0.0500,decremental,noec,195,190,5,21.0000,30.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case00_m200,synthetic,0.0500,decremental,noec,196,190,6,21.0000,30.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case00_m200,synthetic,0.0500,decremental,noec,197,190,7,21.0000,30.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case00_m200,synthetic,0.0500,decremental,noec,198,190,8,28.0000,37.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case00_m200,synthetic,0.0500,decremental,noec,199,190,9,28.0000,37.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case00_m200,synthetic,0.0500,decremental,noec,200,190,10,28.0000,37.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case00_m200,synthetic,0.0500,decremental,ec,191,190,1,18.0000,27.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case00_m200,synthetic,0.0500,decremental,ec,192,190,2,18.0000,27.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case00_m200,synthetic,0.0500,decremental,ec,193,190,3,21.0000,30.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case00_m200,synthetic,0.0500,decremental,ec,194,190,4,21.0000,30.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case00_m200,synthetic,0.0500,decremental,ec,195,190,5,21.0000,30.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case00_m200,synthetic,0.0500,decremental,ec,196,190,6,21.0000,30.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case00_m200,synthetic,0.0500,decremental,ec,197,190,7,21.0000,30.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case00_m200,synthetic,0.0500,decremental,ec,198,190,8,28.0000,37.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case00_m200,synthetic,0.0500,decremental,ec,199,190,9,28.0000,37.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case00_m200,synthetic,0.0500,decremental,ec,200,190,10,28.0000,37.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case01_m200,synthetic,0.0500,decremental,noec,191,190,1,1.0000,495.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case01_m200,synthetic,0.0500,decremental,noec,192,190,2,1.0000,495.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case01_m200,synthetic,0.0500,decremental,noec,193,190,3,1.0000,495.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case01_m200,synthetic,0.0500,decremental,noec,194,190,4,1.0000,495.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case01_m200,synthetic,0.0500,decremental,noec,195,190,5,1.0000,495.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case01_m200,synthetic,0.0500,decremental,noec,196,190,6,1.0000,495.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case01_m200,synthetic,0.0500,decremental,noec,197,190,7,1.0000,495.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case01_m200,synthetic,0.0500,decremental,noec,198,190,8,1.0000,495.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case01_m200,synthetic,0.0500,decremental,noec,199,190,9,1.0000,495.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case01_m200,synthetic,0.0500,decremental,noec,200,190,10,1.0000,495.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case01_m200,synthetic,0.0500,decremental,ec,191,190,1,1.0000,495.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case01_m200,synthetic,0.0500,decremental,ec,192,190,2,1.0000,495.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case01_m200,synthetic,0.0500,decremental,ec,193,190,3,1.0000,495.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case01_m200,synthetic,0.0500,decremental,ec,194,190,4,1.0000,495.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case01_m200,synthetic,0.0500,decremental,ec,195,190,5,1.0000,495.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case01_m200,synthetic,0.0500,decremental,ec,196,190,6,1.0000,495.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case01_m200,synthetic,0.0500,decremental,ec,197,190,7,1.0000,495.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case01_m200,synthetic,0.0500,decremental,ec,198,190,8,1.0000,495.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case01_m200,synthetic,0.0500,decremental,ec,199,190,9,1.0000,495.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case01_m200,synthetic,0.0500,decremental,ec,200,190,10,1.0000,495.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case02_m200,synthetic,0.0500,decremental,noec,191,190,1,0.0000,0.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case02_m200,synthetic,0.0500,decremental,noec,192,190,2,0.0000,0.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case02_m200,synthetic,0.0500,decremental,noec,193,190,3,2.0000,990.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case02_m200,synthetic,0.0500,decremental,noec,194,190,4,2.0000,990.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case02_m200,synthetic,0.0500,decremental,noec,195,190,5,5.0000,993.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case02_m200,synthetic,0.0500,decremental,noec,196,190,6,5.0000,993.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case02_m200,synthetic,0.0500,decremental,noec,197,190,7,5.0000,993.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case02_m200,synthetic,0.0500,decremental,noec,198,190,8,5.0000,993.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case02_m200,synthetic,0.0500,decremental,noec,199,190,9,8.0000,2478.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case02_m200,synthetic,0.0500,decremental,noec,200,190,10,8.0000,2478.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case02_m200,synthetic,0.0500,decremental,ec,191,190,1,0.0000,0.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case02_m200,synthetic,0.0500,decremental,ec,192,190,2,0.0000,0.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case02_m200,synthetic,0.0500,decremental,ec,193,190,3,2.0000,990.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case02_m200,synthetic,0.0500,decremental,ec,194,190,4,2.0000,990.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case02_m200,synthetic,0.0500,decremental,ec,195,190,5,5.0000,993.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case02_m200,synthetic,0.0500,decremental,ec,196,190,6,5.0000,993.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case02_m200,synthetic,0.0500,decremental,ec,197,190,7,5.0000,993.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case02_m200,synthetic,0.0500,decremental,ec,198,190,8,5.0000,993.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case02_m200,synthetic,0.0500,decremental,ec,199,190,9,8.0000,2478.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case02_m200,synthetic,0.0500,decremental,ec,200,190,10,8.0000,2478.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case03_m200,synthetic,0.0500,decremental,noec,191,190,1,0.0000,0.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case03_m200,synthetic,0.0500,decremental,noec,192,190,2,0.0000,0.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case03_m200,synthetic,0.0500,decremental,noec,193,190,3,0.0000,0.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case03_m200,synthetic,0.0500,decremental,noec,194,190,4,0.0000,0.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case03_m200,synthetic,0.0500,decremental,noec,195,190,5,3.0000,1485.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case03_m200,synthetic,0.0500,decremental,noec,196,190,6,3.0000,1485.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case03_m200,synthetic,0.0500,decremental,noec,197,190,7,117.0000,1618.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case03_m200,synthetic,0.0500,decremental,noec,198,190,8,117.0000,1618.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case03_m200,synthetic,0.0500,decremental,noec,199,190,9,119.0000,2610.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case03_m200,synthetic,0.0500,decremental,noec,200,190,10,117.0000,2605.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case03_m200,synthetic,0.0500,decremental,ec,191,190,1,0.0000,0.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case03_m200,synthetic,0.0500,decremental,ec,192,190,2,0.0000,0.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case03_m200,synthetic,0.0500,decremental,ec,193,190,3,0.0000,0.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case03_m200,synthetic,0.0500,decremental,ec,194,190,4,0.0000,0.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case03_m200,synthetic,0.0500,decremental,ec,195,190,5,3.0000,1485.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case03_m200,synthetic,0.0500,decremental,ec,196,190,6,3.0000,1485.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case03_m200,synthetic,0.0500,decremental,ec,197,190,7,117.0000,1618.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case03_m200,synthetic,0.0500,decremental,ec,198,190,8,117.0000,1618.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case03_m200,synthetic,0.0500,decremental,ec,199,190,9,119.0000,2610.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case03_m200,synthetic,0.0500,decremental,ec,200,190,10,117.0000,2605.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,91,90,1,0.0000,0.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,92,90,2,0.0000,0.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,93,90,3,32.0000,32.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,94,90,4,32.0000,32.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,95,90,5,32.0000,32.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,96,90,6,32.0000,32.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,97,90,7,32.0000,32.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,98,90,8,32.0000,32.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,99,90,9,32.0000,32.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,100,90,10,32.0000,32.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,101,90,11,32.0000,32.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,102,90,12,32.0000,32.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,103,90,13,31.0000,50.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,104,90,14,99.0000,118.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,105,90,15,99.0000,118.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,106,90,16,99.0000,118.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,107,90,17,99.0000,118.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,108,90,18,99.0000,118.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,109,90,19,99.0000,118.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,110,90,20,99.0000,118.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,111,90,21,99.0000,118.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,112,90,22,99.0000,118.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,113,90,23,99.0000,118.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,114,90,24,99.0000,118.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,115,90,25,102.0000,1603.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,116,90,26,102.0000,1603.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,117,90,27,102.0000,1603.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,118,90,28,109.0000,1610.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,119,90,29,109.0000,1610.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,120,90,30,107.0000,1607.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,121,90,31,107.0000,1607.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,122,90,32,110.0000,1610.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,123,90,33,110.0000,1610.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,124,90,34,109.0000,1609.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,125,90,35,109.0000,1609.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,126,90,36,109.0000,1609.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,127,90,37,109.0000,1609.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,128,90,38,109.0000,1609.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,129,90,39,109.0000,1609.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,130,90,40,109.0000,1609.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,131,90,41,109.0000,1609.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,132,90,42,109.0000,1609.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,133,90,43,109.0000,1609.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,134,90,44,109.0000,1609.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,135,90,45,109.0000,1609.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,136,90,46,109.0000,1609.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,137,90,47,280.0000,1780.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,138,90,48,280.0000,1780.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,139,90,49,280.0000,1780.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,140,90,50,280.0000,1780.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,141,90,51,279.0000,1779.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,142,90,52,283.0000,3763.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,143,90,53,283.0000,3763.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,144,90,54,283.0000,3763.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,145,90,55,283.0000,3763.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,146,90,56,283.0000,3763.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,147,90,57,283.0000,3763.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,148,90,58,283.0000,3763.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,149,90,59,283.0000,3763.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,150,90,60,283.0000,3763.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,151,90,61,283.0000,3763.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,152,90,62,283.0000,3763.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,153,90,63,283.0000,3763.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,154,90,64,283.0000,3763.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,155,90,65,283.0000,3763.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,156,90,66,283.0000,3763.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,157,90,67,283.0000,3763.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,158,90,68,283.0000,3763.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,159,90,69,287.0000,3767.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,160,90,70,287.0000,3767.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,161,90,71,294.0000,3774.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,162,90,72,293.0000,3773.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,163,90,73,293.0000,3773.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,164,90,74,293.0000,3773.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,165,90,75,293.0000,3773.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,166,90,76,293.0000,3773.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,167,90,77,293.0000,3773.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,168,90,78,292.0000,3277.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,169,90,79,292.0000,3277.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,170,90,80,292.0000,3277.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,171,90,81,292.0000,3277.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,172,90,82,293.0000,3773.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,173,90,83,293.0000,3773.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,174,90,84,293.0000,3773.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,175,90,85,293.0000,3773.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,176,90,86,295.0000,4765.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,177,90,87,297.0000,4767.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,178,90,88,296.0000,4766.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,179,90,89,296.0000,4766.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,180,90,90,296.0000,4766.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,181,90,91,296.0000,4766.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,182,90,92,296.0000,4766.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,183,90,93,295.0000,4764.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,184,90,94,310.0000,4786.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,185,90,95,310.0000,4786.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,decremental,noec,186,90,96,310.0000,4786.0000
