test_case,graph_name,error_rate,algo,ec,n,m_init,m_updates,prediction_accuracy,case1_count,case2_count,online_total_us,online_avg_us_per_update,classical_total_us,classical_avg_us_per_update,speedup_vs_classical
graph_synthetic_mode_decremental_strategy_prefix_err0.00_case00_m200,synthetic,0.0000,decremental,noec,500,1983,200,1.0000,200,0,14.8120,0.0741,128.0680,0.6403,8.6462
graph_synthetic_mode_decremental_strategy_prefix_err0.00_case00_m200,synthetic,0.0000,decremental,ec,500,1983,200,1.0000,200,0,17.0900,0.0855,127.2880,0.6364,7.4481
graph_synthetic_mode_decremental_strategy_prefix_err0.00_case01_m200,synthetic,0.0000,decremental,noec,500,1983,200,1.0000,200,0,15.4440,0.0772,273.6520,1.3683,17.7190
graph_synthetic_mode_decremental_strategy_prefix_err0.00_case01_m200,synthetic,0.0000,decremental,ec,500,1983,200,1.0000,200,0,15.9660,0.0798,206.9480,1.0347,12.9618
graph_synthetic_mode_decremental_strategy_prefix_err0.00_case02_m200,synthetic,0.0000,decremental,noec,500,1983,200,1.0000,200,0,15.8950,0.0795,205.4230,1.0271,12.9237
graph_synthetic_mode_decremental_strategy_prefix_err0.00_case02_m200,synthetic,0.0000,decremental,ec,500,1983,200,1.0000,200,0,16.9760,0.0849,315.0730,1.5754,18.5599
graph_synthetic_mode_decremental_strategy_prefix_err0.00_case03_m200,synthetic,0.0000,decremental,noec,500,1983,200,1.0000,200,0,22.2030,0.1110,229.2660,1.1463,10.3259
graph_synthetic_mode_decremental_strategy_prefix_err0.00_case03_m200,synthetic,0.0000,decremental,ec,500,1983,200,1.0000,200,0,17.0830,0.0854,304.0060,1.5200,17.7958
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case00_m200,synthetic,0.0500,decremental,noec,500,1983,200,0.9500,190,10,542.6420,2.7132,143.7240,0.7186,0.2649
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case00_m200,synthetic,0.0500,decremental,ec,500,1983,200,0.9500,190,10,546.7740,2.7339,94.9730,0.4749,0.1737
graph_synthetic_mode_decremental_strategy_prefix_err0.05_case01_m200,synthetic,0.0500,decremental,noec,500,1983,200,0.9500,190,10,805.9260,4.0296,336.9310,1.6847,0.4181
